State,Year,INSURABLE_POPULATION
MS,2010,2123747
MS,2011,2140031
MS,2012,2153447
MS,2013,2165352
MS,2014,2173373
MS,2015,2176682
MT,2005,689968
MT,2006,702655
MT,2007,713794
MT,2008,724433
MT,2009,732237
MT,2010,739565
MT,2011,746093
MT,2012,753782
MT,2013,761799
MT,2014,769245
MT,2015,776783
NC,2005,6334265
NC,2006,6497237
NC,2007,6637872
NC,2008,6785525
NC,2009,6897099
NC,2010,7013095
NC,2011,7103178
NC,2012,7198914
NC,2013,7295964
NC,2014,7388797
NC,2015,7485765
ND,2005,474389
ND,2006,479200
ND,2007,482946
ND,2008,487573
ND,2009,494079
ND,2010,502033
ND,2011,509848
ND,2012,522008
ND,2013,537061
ND,2014,547808
ND,2015,558886
NE,2005,1258016
NE,2006,1268999
NE,2007,1278564
NE,2008,1288812
NE,2009,1302311
NE,2010,1316444
NE,2011,1325885
NE,2012,1337795
NE,2013,1348834
NE,2014,1360188
NE,2015,1369877
NH,2005,953236
NH,2006,965107
NH,2007,972949
NH,2008,980537
NH,2009,985976
NH,2010,991883
NH,2011,997602
NH,2012,1005610
NH,2013,1012605
NH,2014,1023357
NH,2015,1029243
NJ,2005,6319875
NJ,2006,6341317
NJ,2007,6366965
NJ,2008,6407563
NJ,2009,6458398
NJ,2010,6513853
NJ,2011,6563263
NJ,2012,6616699
NJ,2013,6665244
NJ,2014,6708175
NJ,2015,6741773
NM,2005,1369912
NM,2006,1397657
NM,2007,1421905
NM,2008,1438847
NM,2009,1459970
NM,2010,1484957
NM,2011,1500952
NM,2012,1512455
NM,2013,1520431
NM,2014,1525326
NM,2015,1530002
NV,2005,1762018
NV,2006,1827012
NV,2007,1882724
NV,2008,1922499
NV,2009,1947919
NV,2010,1969283
NV,2011,1993064
NV,2012,2029914
NV,2013,2063424
NV,2014,2105095
NV,2015,2150073
NY,2005,14079492
NY,2006,14102713
NY,2007,14166799
NY,2008,14266883
NY,2009,14384813
NY,2010,14515112
NY,2011,14664709
NY,2012,14797219
NY,2013,14917110
NY,2014,15017390
NY,2015,15093366
OH,2005,8321078
OH,2006,8353032
OH,2007,8381656
OH,2008,8409833
OH,2009,8441431
OH,2010,8480156
OH,2011,8519554
OH,2012,8557492
OH,2013,8600688
OH,2014,8643185
OH,2015,8671980
OK,2005,2556391
OK,2006,2592826
OK,2007,2622521
OK,2008,2647905
OK,2009,2682971
OK,2010,2716945
OK,2011,2742088
OK,2012,2770707
OK,2013,2798425
OK,2014,2819532
OK,2015,2841652
OR,2005,2664410
OR,2006,2714097
OR,2007,2758089
OR,2008,2797693
OR,2009,2835711
OR,2010,2866716
OR,2011,2901809
OR,2012,2934987
OR,2013,2965539
OR,2014,3004851
OR,2015,3056539
PA,2005,9223522
PA,2006,9287762
PA,2007,9346057
PA,2008,9403477
PA,2009,9470113
PA,2010,9538711
PA,2011,9598033
PA,2012,9652863
PA,2013,9693563
PA,2014,9729571
PA,2015,9751011
RI,2005,789268
RI,2006,788110
RI,2007,786304
RI,2008,786871
RI,2009,788659
RI,2010,792291
RI,2011,795161
RI,2012,799030
RI,2013,802707
RI,2014,807130
RI,2015,810511
SC,2005,3103089
SC,2006,3175632
SC,2007,3243697
SC,2008,3311989
SC,2009,3364428
SC,2010,3413517
SC,2011,3458230
SC,2012,3507515
SC,2013,3556723
SC,2014,3612056
SC,2015,3671333
SD,2005,554226
SD,2006,561436
SD,2007,568597
SD,2008,575037
SD,2009,581842
SD,2010,588769
SD,2011,594527
SD,2012,602879
SD,2013,610512
SD,2014,615835
SD,2015,619538
TN,2005,4379000
TN,2006,4454197
